"detectprob","resp_binary","subject_nr","condition"
0.88236996099245,1,1,1
0.198358805941635,1,1,1
0.198358805941635,1,1,1
0.198358805941635,1,1,1
0.198358805941635,1,1,1
0.198358805941635,1,1,1
0.198358805941635,1,1,1
0.00809617726436496,1,1,1
0.00809617726436496,0,1,1
0.198358805941635,1,1,1
0,0,1,1
0.198358805941635,1,1,1
0.88236996099245,1,1,1
0.88236996099245,1,1,1
0.88236996099245,1,1,1
0,0,1,1
0.00809617726436496,1,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0.198358805941635,1,1,1
0.88236996099245,1,1,1
0.88236996099245,1,1,1
0.00809617726436496,0,1,1
0,0,1,1
0,0,1,1
0.198358805941635,0,1,1
0,0,1,1
0.198358805941635,0,1,1
0.198358805941635,0,1,1
0.198358805941635,0,1,1
0.198358805941635,1,1,1
0.198358805941635,1,1,1
0,0,1,1
0.198358805941635,1,1,1
0,1,1,1
0.00809617726436496,1,1,1
0.88236996099245,1,1,1
0,0,1,1
0,0,1,1
0.198358805941635,1,1,1
0,0,1,1
0.198358805941635,1,1,1
0,0,1,1
0,0,1,1
0.88236996099245,1,1,1
0,0,1,1
0.00809617726436496,1,1,1
0,0,1,1
0.00809617726436496,0,1,1
0.198358805941635,0,1,1
0,0,1,1
0.00809617726436496,1,1,1
0.88236996099245,1,1,1
0.198358805941635,0,1,1
0.198358805941635,1,1,1
0.88236996099245,1,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0.198358805941635,0,1,1
0,0,1,1
0,0,1,1
0.00809617726436496,0,1,1
0.198358805941635,0,1,1
0.88236996099245,0,1,1
0.00809617726436496,0,1,1
0.88236996099245,1,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0.198358805941635,1,1,1
0,0,1,1
0.198358805941635,0,1,1
0.198358805941635,1,1,1
0,0,1,1
0.198358805941635,1,1,2
0,0,1,2
0.88236996099245,1,1,2
0.88236996099245,1,1,2
0.198358805941635,1,1,2
0.88236996099245,1,1,2
0,1,1,2
0.198358805941635,1,1,2
0.198358805941635,1,1,2
0.198358805941635,1,1,2
0.198358805941635,1,1,2
0.88236996099245,1,1,2
0.198358805941635,1,1,2
0.198358805941635,1,1,2
0.00809617726436496,1,1,2
0.00809617726436496,1,1,2
0,0,1,2
0.00809617726436496,1,1,2
0.88236996099245,1,1,2
0.198358805941635,1,1,2
0.198358805941635,1,1,2
0.00809617726436496,0,1,2
0,0,1,2
0,0,1,2
0.198358805941635,1,1,2
0,0,1,2
0,0,1,2
0.198358805941635,0,1,2
0.198358805941635,1,1,2
0.198358805941635,1,1,2
0.88236996099245,0,1,2
0,0,1,2
0,0,1,2
0.198358805941635,0,1,2
0,0,1,2
0.198358805941635,0,1,2
0,0,1,2
0.198358805941635,0,1,2
0,0,1,2
0,0,1,2
0.88236996099245,1,1,2
0,0,1,2
0.00809617726436496,1,1,2
0,0,1,2
0,0,1,2
0.88236996099245,1,1,2
0.198358805941635,0,1,2
0.00809617726436496,1,1,2
0,0,1,2
0,0,1,2
0,0,1,2
0.00809617726436496,0,1,2
0.198358805941635,0,1,2
0.198358805941635,1,1,2
0,0,1,2
0.198358805941635,1,1,2
0,0,1,2
0.88236996099245,1,1,2
0,0,1,2
0.198358805941635,1,1,2
0.88236996099245,1,1,2
0,0,1,2
0,1,1,2
0.00809617726436496,1,1,2
0.88236996099245,1,1,2
0.198358805941635,1,1,2
0,0,1,2
0.00809617726436496,1,1,2
0.198358805941635,1,1,2
0.198358805941635,1,1,2
0.198358805941635,1,1,2
0,1,1,2
0,0,1,2
0,1,1,2
0,0,1,2
0,0,1,2
0,0,1,2
0.88236996099245,1,1,2
0,0,1,2
0.00809617726436496,1,1,2
0.198358805941635,1,1,3
0.198358805941635,1,1,3
0.88236996099245,1,1,3
0.88236996099245,0,1,3
0,0,1,3
0.198358805941635,1,1,3
0.88236996099245,1,1,3
0,0,1,3
0.198358805941635,1,1,3
0.00809617726436496,1,1,3
0.00809617726436496,0,1,3
0.198358805941635,0,1,3
0.198358805941635,1,1,3
0.198358805941635,0,1,3
0.88236996099245,0,1,3
0.198358805941635,0,1,3
0,0,1,3
0,0,1,3
0,0,1,3
0.88236996099245,0,1,3
0.00809617726436496,0,1,3
0.198358805941635,0,1,3
0.198358805941635,0,1,3
0.88236996099245,0,1,3
0,0,1,3
0,0,1,3
0.198358805941635,0,1,3
0.198358805941635,0,1,3
0.00809617726436496,0,1,3
0.198358805941635,0,1,3
0,0,1,3
0.198358805941635,0,1,3
0,0,1,3
0.88236996099245,1,1,3
0.198358805941635,0,1,3
0,0,1,3
0,0,1,3
0,0,1,3
0.198358805941635,1,1,3
0.00809617726436496,0,1,3
0.198358805941635,0,1,3
0.00809617726436496,0,1,3
0,0,1,3
0,0,1,3
0.198358805941635,0,1,3
