parameter,mean,std,ess_bulk,ess_tail,rhat,rhat_warn,ess_bulk_warn,ess_tail_warn,ess_warn
"parameters[1, 1]",1.7701541201260322,2.424676661171477,7017.139120415443,2774.287621526652,1.001233968446255,false,false,false,false
"parameters[2, 1]",0.8885534849293524,0.5219384897100877,2203.179187036022,1057.2476688069846,1.0018029904267332,false,false,false,false
"parameters[3, 1]",0.8187299985159618,0.3630412027465702,2396.873498395245,1363.6327805272504,1.0022148206837411,false,false,false,false
"parameters[4, 1]",-4.883827092932708,0.9726253250199296,4917.072676161516,2542.457451337263,1.0001896041768366,false,false,false,false
"parameters[1, 2]",1.9110182406257172,2.479531770888924,8070.8356704610915,2827.4843429805223,1.0004172294771483,false,false,false,false
"parameters[2, 2]",0.36089764607900326,0.33115277989283726,3261.1987877841484,2290.348229757911,1.0004096017514672,false,false,false,false
"parameters[3, 2]",0.9291665410644191,0.36629826248445846,3697.8521594441754,3099.6799313773863,1.0017686711465208,false,false,false,false
"parameters[4, 2]",-5.16795641943231,0.9787729193272906,6478.159803534974,2228.9843486439386,1.001434202075724,false,false,false,false
"parameters[1, 3]",1.7208502688209824,2.428865511123233,7686.987945906351,2956.345318926333,1.0011376316686122,false,false,false,false
"parameters[2, 3]",2.2379215429690094,0.6582577331630923,4657.716584998704,2433.2665809365913,1.000455424566652,false,false,false,false
"parameters[3, 3]",0.8194773745419718,0.22790721526036248,4443.669059691469,2813.2032921938903,1.0017005820658065,false,false,false,false
"parameters[4, 3]",-4.88875941216773,0.9985096559489858,5215.329484519429,2770.623051352559,1.0006405777363603,false,false,false,false
"parameters[1, 4]",1.6668104155438415,2.042733664707632,7593.462914503416,3275.248949231488,1.0013222863726987,false,false,false,false
"parameters[2, 4]",0.6743238928615433,0.5290761021636392,3741.5053407175474,2394.2152565156694,1.002071112491948,false,false,false,false
"parameters[3, 4]",1.1863837422546046,0.45276257718601176,3671.444075059946,3317.3290529540914,1.00025582359419,false,false,false,false
"parameters[4, 4]",-5.258092672875936,0.9615734806048005,7097.8231864728305,2678.3818101935613,1.002499449319905,false,false,false,false
"parameters[1, 5]",1.892872565055658,2.4392353690853277,7599.174712413404,2777.7510000697375,1.000062532025134,false,false,false,false
"parameters[2, 5]",0.5545804008462986,0.39965011895864266,3008.3388225087288,2321.933380379983,1.0007644421528064,false,false,false,false
"parameters[3, 5]",0.9779204729552644,0.35992184489884205,2892.7699270176736,2891.515567061732,1.0016102411009835,false,false,false,false
"parameters[4, 5]",-5.328496665169814,0.9377432579199313,6571.919611398464,3006.9338667349202,1.0007967973135732,false,false,false,false
"parameters[1, 6]",1.386032926019009,1.80086775659341,6616.662662941649,2923.364351105669,0.9994817248094722,false,false,false,false
"parameters[2, 6]",0.5049920702966026,0.3511817091581677,2284.757811956262,1409.1151894617624,1.0006884205727364,false,false,false,false
"parameters[3, 6]",0.7453535806124941,0.25689383631593804,2603.248597901909,1726.5702747670693,1.0002254161848698,false,false,false,false
"parameters[4, 6]",-5.079578135701318,1.0210492579642467,5538.910661867313,2262.0774971145433,1.0007464406324202,false,false,false,false
"parameters[1, 7]",1.6915548985406748,2.01727354209531,6282.917242477361,2965.8839912691205,1.000070239184837,false,false,false,false
"parameters[2, 7]",1.1222080433172799,0.58869239910466,3318.573860451527,2192.4138398217015,1.002551352913953,false,false,false,false
"parameters[3, 7]",0.8178493676087623,0.3578498635202464,2970.422040412512,2859.8109187060427,1.0014420847907461,false,false,false,false
"parameters[4, 7]",-5.211691917534717,0.966062919660191,5484.687710604879,2592.6304922436384,1.0002030039006307,false,false,false,false
"parameters[1, 8]",1.6528445607576563,2.061661056895725,6962.542928282093,2837.9880151626194,0.9997019667946041,false,false,false,false
"parameters[2, 8]",1.019477078694883,0.6083003789220465,3914.532369200896,2350.3236495010133,1.0001626328108832,false,false,false,false
"parameters[3, 8]",1.198312966663902,0.3980768997576639,4274.734332491753,2504.0792361802855,1.0003344608640001,false,false,false,false
"parameters[4, 8]",-5.321579604004476,0.9571822850610218,5696.378431993848,2305.2384830144933,1.0002039176647934,false,false,false,false
"parameters[1, 9]",1.0477338787594421,1.1508112276010845,7110.956440377136,2542.390917453666,1.000292865292037,false,false,false,false
"parameters[2, 9]",1.4427953177200876,0.497860371414885,3853.4862488977556,1956.8797109703223,1.0005130465068628,false,false,false,false
"parameters[3, 9]",0.6988651995277347,0.301796015115154,3508.91240675205,2517.0513787881364,1.0010689346508546,false,false,false,false
"parameters[4, 9]",-5.453203025395009,0.8647907443544788,5844.880628573616,2625.6091365236516,1.000230478721574,false,false,false,false
"parameters[1, 10]",1.641871117725318,1.959031903375942,6232.946637477563,2885.536155731443,1.0007392769433412,false,false,false,false
"parameters[2, 10]",1.0271279130430189,0.6145431550918523,3505.6286254349625,2070.3562102167,1.0007967312926638,false,false,false,false
"parameters[3, 10]",1.2476472980379654,0.4434550721122496,3764.818000775353,3358.917726669858,1.000679985949006,false,false,false,false
"parameters[4, 10]",-5.194003685409514,0.9914395943577646,5851.376054683256,2332.8968540089777,1.0023514533869633,false,false,false,false
"parameters[1, 11]",0.9658830148955039,1.2173703986696702,7147.111159326865,2861.3420635237762,1.0006630608613911,false,false,false,false
"parameters[2, 11]",1.647332133493475,0.5605115269074346,4819.281416271921,2309.1684476682735,1.000721759546847,false,false,false,false
"parameters[3, 11]",0.752515675974067,0.27679237958634056,3940.3877128425574,2549.1055325002517,1.0005113242774035,false,false,false,false
"parameters[4, 11]",-4.8254646638166845,0.9430893378365116,5790.063920415773,2347.969251025712,1.001100267977528,false,false,false,false
"parameters[1, 12]",1.5035825889724515,1.8955389738689892,7911.038566286896,2869.3442338708874,1.0012867271091352,false,false,false,false
"parameters[2, 12]",1.1492082126493015,0.6223330854467218,4283.577880508011,2512.4785773308377,0.9995011329949859,false,false,false,false
"parameters[3, 12]",1.368122570630249,0.45372476598846234,5016.096888390208,3080.9652880728086,1.001607302404197,false,false,false,false
"parameters[4, 12]",-4.5235571845055365,1.3450719891779337,3493.3495918909757,1761.6796846953036,1.0015782917905476,false,false,false,false
"parameters[1, 13]",1.8025312108288776,2.229408640836527,6471.193412334149,3063.1949467541954,0.9997050505963212,false,false,false,false
"parameters[2, 13]",0.7113879973447365,0.4864319585390107,4101.192966051463,2441.756548664521,1.0006889552175522,false,false,false,false
"parameters[3, 13]",1.1843526340709314,0.4438519856542696,3749.2050996838393,3248.2602817955863,0.9999612335674312,false,false,false,false
"parameters[4, 13]",-5.403945641134105,0.9764538154740308,6310.04761803022,2618.383799961215,1.000896611932826,false,false,false,false
"parameters[1, 14]",0.9880568021699998,1.1300897067215079,5899.494794390477,2865.0799008213376,1.0012607556619362,false,false,false,false
"parameters[2, 14]",1.078902043380443,0.372943023756677,2588.5775675945392,1024.2631557299105,1.0010350078840047,false,false,false,false
"parameters[3, 14]",0.39442555829765424,0.1497190265136587,2340.90895724227,1156.5776432257596,1.001256634157538,false,false,false,false
"parameters[4, 14]",-5.677505059594783,0.8910216941218889,4567.461467660468,2586.0641341424416,1.0024953537501606,false,false,false,false
"parameters[1, 15]",2.0208408017666075,2.0219024189200288,5860.177064932245,2614.1146824086436,1.0021791099920203,false,false,false,false
"parameters[2, 15]",1.9853236503242229,0.7052622396449176,3050.103228637055,2156.6849753008855,1.0007923083157435,false,false,false,false
"parameters[3, 15]",0.4500857940399005,0.3047254804255379,2562.6774842927384,2185.723760855399,1.0002320064675259,false,false,false,false
"parameters[4, 15]",-5.343089990649582,0.8882205318091841,5332.192289278319,2473.0446646397477,1.0007770649266936,false,false,false,false
"parameters[1, 16]",1.8614782911507228,2.2485080842212204,7192.115353817803,2910.47576004718,1.0031547141048893,false,false,false,false
"parameters[2, 16]",1.5066148624499396,0.6995850375380683,4887.5889609795995,2429.4980065472196,1.0002355544588843,false,false,false,false
"parameters[3, 16]",1.4292603661487138,0.46966909783960437,5271.541643442547,3274.6191020936194,1.0004365534907982,false,false,false,false
"parameters[4, 16]",-5.150865614270839,1.0103543125327756,5464.184691035238,2358.6576965078098,1.0001404232418933,false,false,false,false
"parameters[1, 17]",2.0660572476234855,2.8431961701100925,6639.9890991335305,3038.779555495957,0.999596068294863,false,false,false,false
"parameters[2, 17]",1.3919742849142343,0.6838840130284461,3865.8232490939236,2015.2813590397907,1.0002134091476629,false,false,false,false
"parameters[3, 17]",1.1867024295358264,0.37450439674540387,4413.755708875171,2975.4824063326564,1.0000644278254218,false,false,false,false
"parameters[4, 17]",-5.070533808837019,1.0227224860425277,5560.754450707658,1999.6703852911319,1.0004252600815298,false,false,false,false
