"term","Estimate","Est.Error","2.5%","97.5%","BF10_raw","BF10"
"Intercept",-0.181418491386018,0.0701038365480995,-0.32065179125,-0.0441983466749999,NA,NA
"signal",1.2771742709225,0.126016836822395,1.024410865,1.5168285875,2.9733970372012e+33,"2.97e+33"
"fam",-0.0132155754091885,0.122197622543499,-0.25723302625,0.22384457025,0.244363722168521,"0.24"
"musicvivid",0.056947867057488,0.098891133728196,-0.138179944,0.2432813385,0.244715106951254,"0.24"
"lshs",0.00371624093002475,0.136634614065891,-0.2649377525,0.269803912,0.25562157022647,"0.26"
"signal:fam",-0.0148942734597908,0.155914980929545,-0.322793747,0.2928566395,0.302748046650482,"0.30"
"signal:musicvivid",0.171206124607893,0.142697334892533,-0.11463134425,0.44531824375,0.571391301146862,"0.57"
"fam:musicvivid",0.062328565597653,0.191949663053574,-0.3110475,0.4379710505,0.408462076001499,"0.41"
"signal:lshs",-0.111817440346131,0.217417908355014,-0.540541299,0.31072990175,0.458514940534556,"0.46"
"fam:lshs",0.526606268622375,0.236213240293843,0.05885584345,0.99213318125,4.84311392874008,"4.84"
"musicvivid:lshs",0.0865498719356265,0.194381741433048,-0.30402960075,0.471371783,0.434591294578199,"0.43"
"signal:fam:musicvivid",-0.11874878374497,0.311064956688321,-0.73914865475,0.47804604925,0.648058427716483,"0.65"
"signal:fam:lshs",0.483133975718176,0.273328047634184,-0.072123198725,1.0164742975,2.58683275280822,"2.59"
"signal:musicvivid:lshs",0.188143169871938,0.252769338868402,-0.3178066785,0.6877827525,0.630430767912039,"0.63"
"fam:musicvivid:lshs",0.633392100881565,0.339997404464562,-0.035962591725,1.3116378575,3.77310505442673,"3.77"
"signal:fam:musicvivid:lshs",-0.25132869189112,0.425828692226622,-1.091344995,0.57287296425,0.942449190975046,"0.94"
