"Self_Voice","Hallucination_Proneness","contrast","estimate","lower.HPD","upper.HPD"
"Distorted","Lower Proneness (-1SD)","FT - AS",-0.10247306070004,-0.245941476499966,0.0343383119669889
"Distorted","Lower Proneness (-1SD)","None - AS",-0.152172797250259,-0.297224560000029,-0.0256990134999304
"Distorted","Lower Proneness (-1SD)","FT - None",0.0478092435998496,-0.0876551114997876,0.175156149500029
"Self-Voice","Lower Proneness (-1SD)","FT - AS",0.178708722499794,0.0364513375000648,0.319101942499981
"Self-Voice","Lower Proneness (-1SD)","None - AS",0.0244713387998446,-0.113070180000092,0.158743198099805
"Self-Voice","Lower Proneness (-1SD)","FT - None",0.152961060650047,0.0219156887600942,0.290601015750131
"Distorted","Higher Proneness (+1SD)","FT - AS",0.0169870912500198,-0.116635961499977,0.152994004999822
"Distorted","Higher Proneness (+1SD)","None - AS",0.134072614749895,0.00378635264968041,0.271239053499941
"Distorted","Higher Proneness (+1SD)","FT - None",-0.118170674149959,-0.255228475500003,0.0106356801502002
"Self-Voice","Higher Proneness (+1SD)","FT - AS",-0.0398556412501914,-0.199165909200356,0.0879141264999528
"Self-Voice","Higher Proneness (+1SD)","None - AS",-0.150536146000162,-0.290996794999863,-0.00310912599998736
"Self-Voice","Higher Proneness (+1SD)","FT - None",0.110162086100141,-0.0338624647999214,0.254745351599961
