"selfvoice","bl","ft","lshs","signal.trend","lower.HPD","upper.HPD","Perturbation","Hallucination_Proneness"
"Distorted",0.6667,-0.3333,0.5,1.0880890938661,0.877520294907795,1.28871309916996,"None","Higher Proneness (+1SD)"
"Self-Voice",0.6667,-0.3333,0.5,1.20887143520186,1.00663124172533,1.42265055731523,"None","Higher Proneness (+1SD)"
"Distorted",-0.3333,0.6667,0.5,0.96987576421247,0.757933278121879,1.16902325518785,"Foot-Tapping","Higher Proneness (+1SD)"
"Self-Voice",-0.3333,0.6667,0.5,1.32059877397692,1.10132701167655,1.52161690815992,"Foot-Tapping","Higher Proneness (+1SD)"
"Distorted",-0.3333,-0.3333,0.5,0.950444353037245,0.740763252169939,1.1592172866429,"Art. Suppression","Higher Proneness (+1SD)"
"Self-Voice",-0.3333,-0.3333,0.5,1.35651889485181,1.14417789464329,1.57513673179802,"Art. Suppression","Higher Proneness (+1SD)"
"Distorted",0.6667,-0.3333,-0.5,1.15513573944461,0.965737490482175,1.37196325892157,"None","Lower Proneness (-1SD)"
"Self-Voice",0.6667,-0.3333,-0.5,0.997485406801344,0.79485651897494,1.19465736019457,"None","Lower Proneness (-1SD)"
"Distorted",-0.3333,0.6667,-0.5,1.20165714378155,1.00294164568292,1.416245323177,"Foot-Tapping","Lower Proneness (-1SD)"
"Self-Voice",-0.3333,0.6667,-0.5,1.15135669842725,0.937193095544985,1.35050444759725,"Foot-Tapping","Lower Proneness (-1SD)"
"Distorted",-0.3333,-0.3333,-0.5,1.30425982282535,1.0993697102087,1.51088991447527,"Art. Suppression","Lower Proneness (-1SD)"
"Self-Voice",-0.3333,-0.3333,-0.5,0.972856885450948,0.77207842307377,1.18142014183581,"Art. Suppression","Lower Proneness (-1SD)"
