"selfvoice","bl","ft","lshs","emmean","lower.HPD","upper.HPD","Perturbation","Hallucination_Proneness"
"Distorted",0.6667,-0.3333,0.5,0.05765278726745,-0.23915776291542,0.3597406158646,"None","Higher Proneness (+1SD)"
"Self-Voice",0.6667,-0.3333,0.5,-0.02704554363015,-0.3131899225611,0.26896762960625,"None","Higher Proneness (+1SD)"
"Distorted",-0.3333,0.6667,0.5,0.267839835757062,-0.01664402308935,0.5704835383441,"Foot-Tapping","Higher Proneness (+1SD)"
"Self-Voice",-0.3333,0.6667,0.5,-0.307615798511027,-0.5962347561853,-0.024132758961825,"Foot-Tapping","Higher Proneness (+1SD)"
"Distorted",-0.3333,-0.3333,0.5,-0.00292205203725001,-0.2893039668145,0.2797892546777,"Art. Suppression","Higher Proneness (+1SD)"
"Self-Voice",-0.3333,-0.3333,0.5,-0.410027925284475,-0.69473551547472,-0.1305163359389,"Art. Suppression","Higher Proneness (+1SD)"
"Distorted",0.6667,-0.3333,-0.5,0.198005685189275,-0.09511414105375,0.50937732864435,"None","Lower Proneness (-1SD)"
"Self-Voice",0.6667,-0.3333,-0.5,0.136162835981275,-0.1713183745272,0.41098449034125,"None","Lower Proneness (-1SD)"
"Distorted",-0.3333,0.6667,-0.5,-0.029766606740975,-0.31051668416585,0.27900412847815,"Foot-Tapping","Lower Proneness (-1SD)"
"Self-Voice",-0.3333,0.6667,-0.5,0.123044546613513,-0.17158483539515,0.4297110010088,"Foot-Tapping","Lower Proneness (-1SD)"
"Distorted",-0.3333,-0.3333,-0.5,-0.22478540902475,-0.509517384669775,0.0889211585651999,"Art. Suppression","Lower Proneness (-1SD)"
"Self-Voice",-0.3333,-0.3333,-0.5,0.242851022276525,-0.0571091442880625,0.53805173457025,"Art. Suppression","Lower Proneness (-1SD)"
