"selfvoice","bl","ft","lshs","emmean","lower.HPD","upper.HPD","Perturbation","Hallucination_Proneness"
"Distorted",0.6667,-0.3333,0.5,0.26119117987826,-0.00235744138634998,0.5240675072315,"None","Higher Proneness (+1SD)"
"Self-Voice",0.6667,-0.3333,0.5,0.228153762530522,-0.0403678987059999,0.480313092302025,"None","Higher Proneness (+1SD)"
"Distorted",-0.3333,0.6667,0.5,-0.064700544664005,-0.315199291130643,0.17735275168139,"Foot-Tapping","Higher Proneness (+1SD)"
"Self-Voice",-0.3333,0.6667,0.5,-0.0587233973982807,-0.3111004490912,0.18415385909783,"Foot-Tapping","Higher Proneness (+1SD)"
"Distorted",-0.3333,-0.3333,0.5,-0.255790915330502,-0.49050969133896,-0.020850637258955,"Art. Suppression","Higher Proneness (+1SD)"
"Self-Voice",-0.3333,-0.3333,0.5,-0.20745584569499,-0.448871748343625,0.0227831271661,"Art. Suppression","Higher Proneness (+1SD)"
"Distorted",0.6667,-0.3333,-0.5,0.17940129999089,-0.086112114945054,0.45783232292975,"None","Lower Proneness (-1SD)"
"Self-Voice",0.6667,-0.3333,-0.5,0.0890816833644275,-0.183409127035125,0.343812995944945,"None","Lower Proneness (-1SD)"
"Distorted",-0.3333,0.6667,-0.5,-0.00629639228392495,-0.25118086057105,0.249624528393078,"Foot-Tapping","Lower Proneness (-1SD)"
"Self-Voice",-0.3333,0.6667,-0.5,0.0998013869047,-0.154834408274675,0.353258172425325,"Foot-Tapping","Lower Proneness (-1SD)"
"Distorted",-0.3333,-0.3333,-0.5,-0.144794253585337,-0.38522840065132,0.097396383998365,"Art. Suppression","Lower Proneness (-1SD)"
"Self-Voice",-0.3333,-0.3333,-0.5,-0.0592770252611075,-0.296096895604425,0.184385285043475,"Art. Suppression","Lower Proneness (-1SD)"
