"term","Estimate","Est.Error","2.5%","97.5%","BF10_raw","BF10"
"Intercept",0.000794156780065499,0.0486624693808086,-0.09500850825,0.093562253075,NA,NA
"selfvoice",0.0423300097480263,0.101040063049838,-0.14987659025,0.2435167895,0.109843289228986,"0.11"
"bl",-0.00903314110123825,0.104991390934521,-0.2154854815,0.18981275375,0.0970047531412497,"0.10"
"lshs",0.109973045119942,0.100156173120359,-0.0833878602,0.3068318875,0.182512027877019,"0.18"
"ft",0.0264081313679487,0.103644365151287,-0.1733433555,0.2270486025,0.102983396261576,"0.10"
"selfvoice:bl",-0.148615954104472,0.197503282576746,-0.523716692,0.232766226,0.272601238500915,"0.27"
"selfvoice:lshs",-0.0433114941246205,0.200166584394083,-0.43614512725,0.35871713475,0.202757207641075,"0.20"
"bl:lshs",-0.1662688210387,0.207088539986476,-0.58016005275,0.2372667025,0.272461747297088,"0.27"
"selfvoice:ft",0.122520987534015,0.196180350584546,-0.26129953175,0.50602568,0.23051095726071,"0.23"
"lshs:ft",-0.192825863110995,0.203869373283335,-0.59442775875,0.20935682375,0.303049332608823,"0.30"
"selfvoice:bl:lshs",0.0226337642844725,0.372428412693178,-0.7187020565,0.766514606,0.366375214268513,"0.37"
"selfvoice:lshs:ft",0.399122147497565,0.371077722395134,-0.3324560475,1.11664692,0.611250696438671,"0.61"
