"term","Estimate","Est.Error","2.5%","97.5%","BF10_raw","BF10"
"Intercept",0.00508546727548921,0.0704348844811807,-0.13383860475,0.1448396255,NA,NA
"selfvoice",0.0207367417635785,0.0896103321488589,-0.1586436745,0.1921159285,0.0908158336915957,"0.09"
"bl",0.356557595806667,0.0686908334850318,0.22268302225,0.489935365,956.336329738025,"9.56e+02"
"lshs",-0.0438448973760275,0.141143472136848,-0.330810365,0.23422073475,0.150766495089766,"0.15"
"ft",0.159815967481158,0.0447447638659811,0.07171957875,0.24781115975,33.8900668674947,"33.89"
"ztrialID",-0.212308301076667,0.00260978774603031,-0.2173087735,-0.2071042485,398872130952520,"3.99e+14"
"selfvoice:bl",-0.127916306269583,0.0124710238653547,-0.15241900475,-0.1033073625,Inf,"Inf"
"selfvoice:lshs",-0.0295161771038511,0.168920419529161,-0.37223211425,0.29557723425,0.171854080334794,"0.17"
"bl:lshs",0.242659775202185,0.132376887352915,-0.0210189439,0.49979926375,0.664445721041841,"0.66"
"selfvoice:ft",-0.00900001127080568,0.0126417479187794,-0.03389710645,0.0156757696,0.0159145158216515,"0.02"
"lshs:ft",0.0225666105936447,0.088656066420116,-0.15038488075,0.196580709,0.0915055857021145,"0.09"
"selfvoice:bl:lshs",0.100225558145517,0.0248257390004063,0.05122731865,0.148309048,42.6453868587542,"42.65"
"selfvoice:lshs:ft",-0.06384435318635,0.0247267711944734,-0.1117646725,-0.0149572488,0.705857936286974,"0.71"
